i,u,eta_F,load,power,prod,eff,eff_m,prod_m,power_m
175,1.321182479,0.118984675,0.023000843,0.023000843,0.077902638,3.386947113,229.1914745,8.62618435,0.000141191
176,1.321744445,0.120175146,0.023142115,0.023142115,0.079131685,3.41937992,229.5758526,8.699818008,0.000141273
177,1.322304671,0.121368948,0.023283469,0.023283469,0.080371846,3.45188446,229.9515112,8.773448888,0.000141354
178,1.322863168,0.122566039,0.023424904,0.023424904,0.08162313,3.484459495,230.3184941,8.847073098,0.000141435
179,1.323419948,0.123766374,0.023566419,0.023566419,0.082885543,3.517103794,230.6768455,8.920686781,0.000141515
180,1.323975022,0.12496991,0.023708015,0.023708015,0.084159094,3.549816128,231.0266099,8.994286109,0.000141596
181,1.324528403,0.126176603,0.02384969,0.02384969,0.085443788,3.582595273,231.367832,9.067867285,0.000141675
182,1.325080102,0.12738641,0.023991445,0.023991445,0.086739632,3.61544001,231.7005565,9.141426545,0.000141755
183,1.325630129,0.128599288,0.02413328,0.02413328,0.088046631,3.648349125,232.0248287,9.214960156,0.000141834
184,1.326178497,0.129815193,0.024275193,0.024275193,0.089364789,3.681321408,232.3406939,9.288464416,0.000141914
185,1.326725215,0.131034083,0.024417186,0.024417186,0.090694112,3.714355653,232.6481976,9.361935656,0.000141992
186,1.327270297,0.132255915,0.024559256,0.024559256,0.092034602,3.747450662,232.9473856,9.43537024,0.000142071
187,1.327813751,0.133480646,0.024701405,0.024701405,0.093386263,3.780605237,233.2383039,9.508764561,0.000142149
188,1.328355589,0.134708233,0.024843632,0.024843632,0.094749096,3.81381819,233.5209987,9.582115046,0.000142227
189,1.328895822,0.135938634,0.024985937,0.024985937,0.096123106,3.847088333,233.7955163,9.655418156,0.000142304
190,1.329434461,0.137171806,0.025128318,0.025128318,0.097508291,3.880414488,234.0619033,9.728670383,0.000142382
191,1.329971514,0.138407707,0.025270777,0.025270777,0.098904654,3.913795478,234.3202064,9.80186825,0.000142459
192,1.330506994,0.139646294,0.025413313,0.025413313,0.100312195,3.947230133,234.5704725,9.875008316,0.000142536
193,1.33104091,0.140887527,0.025555925,0.025555925,0.101730913,3.980717289,234.8127488,9.948087169,0.000142612
194,1.331573273,0.142131362,0.025698614,0.025698614,0.103160808,4.014255785,235.0470825,10.02110143,0.000142688
195,1.332104092,0.143377758,0.025841378,0.025841378,0.104601879,4.047844466,235.273521,10.09404777,0.000142764
196,1.332633377,0.144626674,0.025984218,0.025984218,0.106054123,4.081482184,235.4921118,10.16692286,0.00014284
197,1.333161139,0.145878067,0.026127134,0.026127134,0.107517539,4.115167795,235.7029028,10.23972342,0.000142916
198,1.333687386,0.147131897,0.026270124,0.026270124,0.108992123,4.148900159,235.9059418,10.31244622,0.000142991
199,1.33421213,0.148388122,0.02641319,0.02641319,0.110477873,4.182678144,236.1012768,10.38508805,0.000143066
200,1.334735379,0.149646701,0.02655633,0.02655633,0.111974783,4.216500622,236.2889559,10.45764571,0.00014314
201,1.335257142,0.150907593,0.026699545,0.026699545,0.113482851,4.250366471,236.4690273,10.53011608,0.000143215
202,1.33577743,0.152170758,0.026842834,0.026842834,0.115002071,4.284274575,236.6415396,10.60249603,0.000143289
203,1.336296251,0.153436154,0.026986197,0.026986197,0.116532438,4.318223822,236.8065412,10.67478249,0.000143363
204,1.336813615,0.154703742,0.027129633,0.027129633,0.118073945,4.352213108,236.9640806,10.74697242,0.000143436
205,1.337329531,0.155973481,0.027273143,0.027273143,0.119626587,4.386241332,237.1142067,10.81906279,0.00014351
206,1.337844008,0.15724533,0.027416726,0.027416726,0.121190357,4.4203074,237.2569683,10.89105064,0.000143583
207,1.338357055,0.15851925,0.027560382,0.027560382,0.122765247,4.454410226,237.3924142,10.96293302,0.000143656
208,1.33886868,0.159795201,0.027704111,0.027704111,0.12435125,4.488548725,237.5205935,11.03470701,0.000143729
209,1.339378893,0.161073143,0.027847912,0.027847912,0.125948357,4.522721822,237.6415552,11.10636975,0.000143801
210,1.339887702,0.162353037,0.027991785,0.027991785,0.12755656,4.556928446,237.7553486,11.17791838,0.000143873
211,1.340395117,0.163634843,0.02813573,0.02813573,0.12917585,4.591167531,237.8620229,11.24935009,0.000143945
212,1.340901144,0.164918522,0.028279747,0.028279747,0.130806216,4.62543802,237.9616274,11.32066211,0.000144017
213,1.341405794,0.166204035,0.028423835,0.028423835,0.132447649,4.659738859,238.0542114,11.39185169,0.000144088
214,1.341909074,0.167491343,0.028567995,0.028567995,0.134100139,4.694069001,238.1398244,11.46291612,0.00014416
215,1.342410993,0.168780408,0.028712225,0.028712225,0.135763673,4.728427404,238.2185158,11.53385272,0.000144231
216,1.342911559,0.17007119,0.028856527,0.028856527,0.137438242,4.762813035,238.2903353,11.60465885,0.000144301
217,1.343410779,0.171363653,0.029000899,0.029000899,0.139123833,4.797224863,238.3553323,11.6753319,0.000144372
218,1.343908663,0.172657756,0.029145341,0.029145341,0.140820433,4.831661867,238.4135566,11.74586929,0.000144442
219,1.344405219,0.173953464,0.029289853,0.029289853,0.142528031,4.866123028,238.4650576,11.81626847,0.000144512
220,1.344900453,0.175250737,0.029434436,0.029434436,0.144246612,4.900607338,238.5098851,11.88652693,0.000144582
221,1.345394375,0.176549538,0.029579088,0.029579088,0.145976164,4.93511379,238.5480888,11.95664219,0.000144652
222,1.345886991,0.177849829,0.029723809,0.029723809,0.147716672,4.969641386,238.5797183,12.02661181,0.000144721
223,1.346378311,0.179151574,0.0298686,0.0298686,0.149468123,5.004189135,238.6048234,12.09643338,0.000144791
224,1.34686834,0.180454735,0.03001346,0.03001346,0.151230501,5.03875605,238.6234539,12.16610451,0.00014486
225,1.347357088,0.181759276,0.030158388,0.030158388,0.153003791,5.073341152,238.6356594,12.23562285,0.000144928
226,1.347844561,0.183065159,0.030303385,0.030303385,0.154787978,5.107943466,238.6414896,12.3049861,0.000144997
227,1.348330767,0.184372349,0.03044845,0.03044845,0.156583045,5.142562026,238.6409943,12.37419197,0.000145065
228,1.348815713,0.185680809,0.030593584,0.030593584,0.158388977,5.177195871,238.6342231,12.4432382,0.000145134
229,1.349299407,0.186990502,0.030738786,0.030738786,0.160205757,5.211844045,238.6212259,12.51212259,0.000145202
230,1.349781856,0.188301393,0.030884055,0.030884055,0.162033367,5.246505601,238.6020521,12.58084294,0.000145269
231,1.350263067,0.189613446,0.031029392,0.031029392,0.163871791,5.281179596,238.5767515,12.6493971,0.000145337
232,1.350743048,0.190926626,0.031174796,0.031174796,0.16572101,5.315865095,238.5453737,12.71778296,0.000145404
233,1.351221805,0.192240897,0.031320267,0.031320267,0.167581006,5.350561168,238.5079681,12.78599842,0.000145471
234,1.351699345,0.193556224,0.031465806,0.031465806,0.169451761,5.385266891,238.4645845,12.85404143,0.000145538
235,1.352175676,0.194872572,0.031611411,0.031611411,0.171333256,5.419981349,238.4152722,12.92190996,0.000145605
236,1.352650804,0.196189907,0.031757082,0.031757082,0.173225471,5.45470363,238.3600807,12.98960202,0.000145672
237,1.353124737,0.197508193,0.03190282,0.03190282,0.175128388,5.489432831,238.2990594,13.05711564,0.000145738
238,1.353597481,0.198827396,0.032048624,0.032048624,0.177041985,5.524168054,238.2322576,13.1244489,0.000145804
239,1.354069042,0.200147483,0.032194494,0.032194494,0.178966244,5.558908408,238.1597246,13.1915999,0.00014587
240,1.354539428,0.201468419,0.03234043,0.03234043,0.180901142,5.593653008,238.0815095,13.25856676,0.000145936
241,1.355008645,0.202790171,0.032486431,0.032486431,0.182846661,5.628400976,237.9976616,13.32534765,0.000146001
242,1.355476699,0.204112705,0.032632498,0.032632498,0.184802777,5.66315144,237.9082299,13.39194076,0.000146067
243,1.355943598,0.205435987,0.03277863,0.03277863,0.18676947,5.697903533,237.8132633,13.45834432,0.000146132
244,1.356409347,0.206759985,0.032924826,0.032924826,0.188746717,5.732656398,237.7128108,13.52455658,0.000146197
245,1.356873953,0.208084665,0.033071088,0.033071088,0.190734497,5.767409181,237.6069212,13.59057584,0.000146262
246,1.357337423,0.209409995,0.033217414,0.033217414,0.192732788,5.802161036,237.4956433,13.65640039,0.000146326
